tweet,obama_score,romney_score
Warrantless Electronic Surveillance Surges Under Obama Justice Department http://t.co/rCs6UPmw via @HuffPostPol,obama=-1,romney=na
@steverocknroll thats fine i just told you my opinion based on my observations  Obama cannot please everyone,obama=+1,romney=na
Obama aka 2 TERMZZZ,obama=+1,romney=na
RT @CinSmith1: @SpreadButter new drinking game called lying bastard. Drink everytime Obama opens his mouth. Interchange each shot w/ wat ...,obama=-1,romney=na
Polls favor Obama. A conspiracy by Democrats and the media? http://t.co/k3ovs0Dh,obama=-1,romney=na
"RT @seanhannity: Obama received a huge endorsement yesterday: ""if I were American  I'd vote for Obama"" said Venezuelan leader Hugo Chavez.",obama=+1,romney=na
RT @KamauMandela: 35 days until the re election of President Barack Obama.,obama=+1,romney=na
RT @MarkSalling: Obama is going to win,obama=+1,romney=na
RT @TwitchyTeam: Boom! American Crossroads' devastating video drubs Obama hard over embassy attacks  failed leadership http://t.co/xXbNuVmS,obama=-1,romney=na
RT @DRUDGE_REPORT: Hundreds line up for $1.84 gas in Michigan in Anti-Obama Stunt... http://t.co/V6m4vCma,obama=-1,romney=na
RT @fivethirtyeight: Weird polling day: the raw numbers were decent for Romney (except for that NH poll). However  the within-poll trend ...,obama=na,romney=-1
@cps3indy @AHMalcolm Big reason why everyone should vote for Romney!,obama=na,romney=+1
RT @IngrahamAngle: I believe that there is almost nothing Obama can do Wed nite that wd lead journalists to say he lost to Romney.,obama=-1,romney=+1
"RT @joshgreenman: ""I knew Gov. Romney. I served with Gov. Romney. Gov. Romney was a friend of mine. Mr. President  I'm no Gov. Romney.""  ...",obama=na,romney=+1
RT @KitaMelendez: I kill shit  Osama. I run shit  Obama. No bitch  no drama. I fucked yo Bitch  BABYMAMAAAAA!,obama=-1,romney=na
Obama Lies  Supporters Clueless http://t.co/ATP8hWTV,obama=-1,romney=na
"@KRMullins1964 Romney admits he has disdain for 47% of the American people - Says they are ""victims"" in his OWN works. No translation needed",obama=na,romney=-1
@KrystalBall1 Eastwood used a chair at the GOP convention for an invisible Obama. Will Mitt use and invisible mic for the debate? LOL,obama=-1,romney=+1
"RT @NaomiAKlein: In U.N. Address  WikiLeaks' Julian Assange Urges Obama Admin to End ""Regime of Secrecy"" http://t.co/JoSx68f3 @democracynow",obama=-1,romney=na
New post: Obama  Romney Rake in Millions from Small-Dollar Donations http://t.co/9D6JrCdw,obama=-1,romney=-1
@IngrahamAngle I have a feeling with all the Romney media bashing &amp; bias  he might be done for  it just might be too much 2 overcome,obama=na,romney=-1
RAHN: A vote for Obama is a vote for recession - Washington Times: http://t.co/Td711P8q,obama=-1,romney=na
